"Name","Color","Rarity","# Picked","ATA","# OH","OH WR","# GIH","GIH WR","IWD"
"Invasion of Ravnica","","M","579","1.37","594","55.7%","1555","59.1%","-0.0pp"
"Aerial Boost","W","C","8129","8.65","5184","62.1%","12219","62.1%","1.0pp"
"Alabaster Host Intercessor","W","C","5245","6.03","4130","56.2%","9932","57.8%","-0.6pp"
"Alabaster Host Sanctifier","W","C","4830","7.81","3582","58.9%","7993","56.9%","-2.6pp"
"Angelic Intervention","W","C","7105","7.31","5491","61.3%","13060","60.9%","-0.3pp"
"Archangel Elspeth","W","M","538","1.17","502","60.2%","1164","64.0%","7.6pp"
"Attentive Skywarden","W","C","3568","9.30","1519","55.5%","3484","55.3%","-2.4pp"
"Bola Slinger","W","C","5866","7.96","4102","59.8%","9559","60.6%","0.2pp"
"Boon-Bringer Valkyrie","W","R","1172","1.30","1181","66.3%","2771","68.7%","10.1pp"
"Cut Short","W","C","4150","7.34","2630","58.1%","6534","59.6%","0.4pp"
"Dusk Legion Duelist","W","R","744","2.30","739","61.7%","1559","59.7%","-0.3pp"
"Elesh Norn","W","M","521","1.16","485","60.8%","1139","62.5%","6.1pp"
"Elspeth's Smite","W","U","2240","5.56","1726","59.4%","4018","60.0%","0.6pp"
"Enduring Bondwarden","W","C","4960","9.83","2386","59.2%","5174","57.4%","-2.5pp"
"Golden-Scale Aeronaut","W","C","4796","10.46","1477","57.3%","3546","56.9%","-2.2pp"
"Guardian of Ghirapur","W","R","1041","1.77","1008","63.2%","2278","62.2%","2.9pp"
"Heliod, the Radiant Dawn","W","R","481","3.10","305","52.5%","695","52.5%","-4.7pp"
"Infected Defector","W","C","3490","11.37","494","58.9%","1220","57.0%","-0.7pp"
"Inspired Charge","W","C","4599","12.54","308","60.4%","764","57.7%","-1.9pp"
"Invasion of Belenon","W","U","1598","5.60","1176","58.7%","2576","56.3%","-3.6pp"
"Invasion of Dominaria","W","U","1601","6.44","923","57.9%","2198","56.3%","-2.3pp"
"Invasion of Gobakhan","W","R","842","2.12","771","64.9%","1716","59.8%","1.9pp"
"Invasion of Theros","W","R","647","7.44","96","","228","56.1%","1.3pp"
"Kithkin Billyrider","W","C","4273","9.76","1991","56.5%","4456","55.3%","-5.2pp"
"Knight of the New Coalition","W","C","6543","7.52","4858","62.1%","11308","60.7%","-0.8pp"
"Knight-Errant of Eos","W","R","954","1.99","875","60.8%","2027","60.4%","2.3pp"
"Kor Halberd","W","C","5135","10.90","1493","58.7%","3401","57.3%","-2.1pp"
"Monastery Mentor","W","M","557","1.46","537","62.2%","1276","60.1%","2.4pp"
"Norn's Inquisitor","W","U","4453","2.95","4567","67.6%","10048","65.4%","5.5pp"
"Phyrexian Awakening","W","U","2962","5.21","2261","57.9%","5319","58.7%","0.7pp"
"Phyrexian Censor","W","U","3082","6.79","1750","57.8%","3963","58.6%","0.4pp"
"Progenitor Exarch","W","R","1061","1.67","1056","59.4%","2458","60.4%","1.8pp"
"Realmbreaker's Grasp","W","C","4522","4.76","4079","57.2%","9636","58.2%","-2.0pp"
"Scrollshift","W","C","5128","11.11","984","54.8%","2473","57.3%","-0.9pp"
"Seal from Existence","W","U","2622","3.18","2372","56.8%","5647","58.6%","-1.1pp"
"Seraph of New Capenna","W","U","1607","7.87","810","53.6%","1937","53.5%","-3.3pp"
"Sigiled Sentinel","W","C","6148","6.49","5604","60.6%","12453","58.9%","-2.6pp"
"Sun-Blessed Guardian","W","U","2301","6.83","1602","56.9%","3637","55.0%","-4.8pp"
"Sunder the Gateway","W","C","5325","9.17","2755","57.6%","6344","57.8%","-1.7pp"
"Sunfall","W","R","1297","1.34","1336","67.6%","3302","69.4%","10.9pp"
"Surge of Salvation","W","U","2737","10.23","631","61.3%","1578","59.8%","0.3pp"
"Swordsworn Cavalier","W","C","8038","7.43","7024","63.2%","15241","60.4%","-1.6pp"
"Tarkir Duneshaper","W","C","6266","9.32","3734","61.8%","8283","58.6%","-2.2pp"
"Tiller of Flesh","W","U","1965","7.40","856","55.4%","2096","55.2%","-3.1pp"
"Zhalfirin Lancer","W","U","3469","6.06","2909","60.4%","6471","58.5%","-2.7pp"
"Artistic Refusal","U","U","8195","5.09","7321","62.4%","20092","63.9%","3.4pp"
"Assimilate Essence","U","C","11113","8.13","8405","62.9%","20874","62.8%","2.6pp"
"Astral Wingspan","U","U","4396","7.70","2123","59.2%","5572","61.4%","1.8pp"
"Captive Weird","U","U","8302","4.13","8887","65.4%","21652","63.2%","2.6pp"
"Change the Equation","U","U","3160","11.62","135","","354","61.0%","4.9pp"
"Chrome Host Seedshark","U","R","1575","1.41","1802","70.7%","4632","68.6%","10.6pp"
"Complete the Circuit","U","R","1021","9.00","38","","109","",""
"Corruption of Towashi","U","U","5043","5.68","3622","56.8%","9651","58.9%","0.9pp"
"Disturbing Conversion","U","C","7646","11.30","1582","57.7%","4078","59.4%","0.3pp"
"Ephara's Dispersal","U","C","14654","5.22","14920","61.3%","38163","63.4%","2.5pp"
"Expedition Lookout","U","C","8636","10.66","3184","58.1%","8021","59.4%","0.3pp"
"Eyes of Gitaxias","U","C","13679","6.75","12680","61.1%","32260","62.0%","1.4pp"
"Faerie Mastermind","U","R","1665","1.87","1870","68.3%","4506","66.3%","6.7pp"
"Furtive Analyst","U","C","6176","12.34","604","56.0%","1547","56.8%","1.1pp"
"Halo-Charged Skaab","U","C","9611","10.52","3267","56.4%","9048","59.3%","-0.4pp"
"Invasion of Arcavios","U","R","773","8.97","35","","102","",""
"Invasion of Kamigawa","U","U","2104","7.82","867","45.9%","2326","51.0%","-6.0pp"
"Invasion of Segovia","U","R","1547","2.19","1605","62.4%","3984","63.3%","4.6pp"
"Invasion of Vryn","U","U","3909","7.12","2356","57.2%","6042","59.2%","-0.3pp"
"Jin-Gitaxias","U","M","546","1.60","537","61.3%","1373","62.4%","2.5pp"
"Meeting of Minds","U","C","10981","6.79","9480","59.9%","24426","61.0%","0.1pp"
"Moment of Truth","U","C","7587","11.36","1623","57.8%","4198","59.6%","0.5pp"
"Negate","U","C","6509","12.33","654","55.8%","1699","57.7%","-1.6pp"
"Oculus Whelp","U","C","6083","11.13","1148","53.6%","2953","56.8%","0.4pp"
"Omen Hawker","U","U","7027","8.05","4386","63.1%","10787","60.2%","0.5pp"
"Oracle of Tragedy","U","U","5181","6.93","4297","60.0%","10399","60.5%","1.3pp"
"Order of the Mirror","U","C","8501","7.77","6732","59.1%","15750","58.1%","-2.1pp"
"Preening Champion","U","C","13300","3.36","14792","65.9%","36031","65.2%","4.5pp"
"Protocol Knight","U","C","7802","9.13","4336","61.6%","10582","61.3%","-1.0pp"
"Rona, Herald of Invasion","U","R","1479","1.85","1585","65.3%","4052","62.7%","3.5pp"
"Saiba Cryptomancer","U","C","11669","7.63","9840","60.3%","24981","62.3%","2.1pp"
"See Double","U","R","1564","2.34","1505","59.7%","4373","63.7%","5.4pp"
"Skyclave Aerialist","U","U","7276","3.66","7909","63.9%","19326","62.6%","1.9pp"
"Stasis Field","U","C","5364","9.34","2484","56.6%","6349","58.7%","0.1pp"
"Temporal Cleansing","U","C","12974","7.05","10953","59.4%","29138","61.4%","0.1pp"
"Thunderhead Squadron","U","C","6225","10.32","1964","54.3%","5265","56.8%","-2.5pp"
"Tidal Terror","U","C","8833","8.81","5564","56.4%","14630","58.5%","-1.1pp"
"Transcendent Message","U","R","1641","4.45","1166","58.7%","3117","60.2%","-0.6pp"
"Wicked Slumber","U","U","4081","8.07","2041","58.2%","5391","59.9%","-2.0pp"
"Xerex Strobe-Knight","U","U","5782","3.42","6078","61.4%","15087","61.3%","0.8pp"
"Zephyr Singer","U","R","1578","1.70","1692","71.6%","4298","69.1%","9.7pp"
"Zhalfirin Shapecraft","U","C","8766","10.65","3056","58.3%","7726","60.5%","0.4pp"
"Aetherblade Agent","B","C","7615","5.43","7499","58.2%","18792","59.0%","0.5pp"
"Archpriest of Shadows","B","R","1213","1.48","1182","60.6%","3038","61.8%","5.6pp"
"Ayara, Widow of the Realm","B","R","1089","1.90","1093","56.9%","2713","59.1%","1.4pp"
"Bladed Battle-Fan","B","C","6372","11.25","1246","57.9%","3225","58.8%","2.0pp"
"Blightreaper Thallid","B","U","5878","3.68","5977","62.7%","14839","61.6%","3.0pp"
"Bloated Processor","B","R","1291","2.02","1338","60.5%","3308","61.3%","2.8pp"
"Breach the Multiverse","B","R","1623","1.79","1689","63.8%","4905","69.0%","12.2pp"
"Collective Nightmare","B","U","5132","3.06","5141","61.6%","13077","62.2%","4.9pp"
"Compleated Huntmaster","B","U","3441","5.52","2852","55.6%","7131","56.8%","-1.2pp"
"Consuming Aetherborn","B","C","5260","10.98","1002","56.3%","2674","57.3%","-0.5pp"
"Corrupted Conviction","B","C","6762","10.81","2327","57.3%","6007","58.8%","0.8pp"
"Deadly Derision","B","C","9121","2.98","9482","61.4%","24581","63.4%","5.4pp"
"Dreg Recycler","B","C","7971","9.30","4625","58.1%","11478","58.3%","0.9pp"
"Etched Familiar","B","C","5626","9.18","2812","56.1%","6981","58.0%","2.3pp"
"Etched Host Doombringer","B","C","5297","11.29","732","54.2%","2032","57.8%","1.2pp"
"Failed Conversion","B","C","5204","9.87","1481","51.9%","4025","55.4%","-0.7pp"
"Final Flourish","B","C","9943","4.09","10369","59.8%","25932","61.8%","3.3pp"
"Flitting Guerrilla","B","C","5652","10.20","2189","53.1%","5423","56.1%","-0.3pp"
"Gift of Compleation","B","U","3594","5.98","2905","57.6%","6999","58.6%","2.0pp"
"Glistening Deluge","B","U","3459","11.34","230","53.9%","629","58.3%","-0.8pp"
"Gloomfang Mauler","B","C","6376","8.09","4454","56.4%","11125","58.9%","1.9pp"
"Grafted Butcher","B","R","1031","2.00","1048","64.4%","2456","63.4%","5.1pp"
"Hoarding Broodlord","B","R","1387","1.62","1368","60.4%","3654","63.4%","5.8pp"
"Ichor Drinker","B","C","9538","7.37","8546","63.2%","20784","61.1%","1.6pp"
"Ichor Shade","B","C","4147","10.83","1111","49.1%","2747","53.4%","-1.8pp"
"Invasion of Eldraine","B","U","4147","5.62","3433","57.9%","8720","59.3%","0.3pp"
"Invasion of Fiora","B","R","1363","1.45","1408","62.0%","3668","65.4%","9.0pp"
"Invasion of Innistrad","B","M","651","1.38","684","63.5%","1795","66.2%","10.2pp"
"Invasion of Ulgrotha","B","U","2956","5.01","2328","56.3%","6318","59.7%","2.8pp"
"Merciless Repurposing","B","U","5034","4.37","4291","57.3%","11851","61.2%","3.6pp"
"Mirrodin Avenged","B","C","5019","11.92","661","55.4%","1689","58.0%","1.9pp"
"Nezumi Freewheeler","B","U","2564","6.24","1777","54.2%","4546","56.9%","0.9pp"
"Nezumi Informant","B","C","10609","6.08","10441","61.4%","25537","60.8%","1.5pp"
"Phyrexian Gargantua","B","U","4028","5.89","2947","54.1%","7973","56.9%","-1.2pp"
"Pile On","B","R","1364","1.52","1377","64.3%","3662","66.8%","9.3pp"
"Render Inert","B","U","4533","7.98","2120","57.1%","5585","59.9%","2.7pp"
"Scorn-Blade Berserker","B","U","6354","5.41","6178","61.1%","15095","62.4%","2.8pp"
"Sheoldred","B","M","670","1.19","725","65.5%","1874","67.5%","10.7pp"
"Tenured Oilcaster","B","C","4898","12.13","499","53.3%","1292","55.8%","0.4pp"
"Traumatic Revelation","B","C","8112","9.24","4680","58.1%","11543","58.6%","1.2pp"
"Unseal the Necropolis","B","C","9833","8.11","6743","57.4%","18652","61.9%","3.3pp"
"Vanquish the Weak","B","C","6548","5.43","6124","56.0%","15342","59.3%","0.7pp"
"Akki Scrapchomper","R","C","6248","12.12","1384","59.2%","3338","58.0%","-1.1pp"
"Beamtown Beatstick","R","C","6711","9.58","3469","60.9%","8331","58.4%","1.9pp"
"Bloodfeather Phoenix","R","R","703","3.80","545","60.7%","1293","58.4%","0.8pp"
"Burning Sun's Fury","R","C","4815","13.51","82","","194","",""
"Chandra, Hope's Beacon","R","M","570","1.34","511","67.3%","1358","68.1%","9.6pp"
"City on Fire","R","R","814","5.04","388","55.4%","991","57.5%","1.0pp"
"Coming In Hot","R","C","4716","12.99","293","53.6%","717","55.2%","-4.0pp"
"Etali, Primal Conqueror","R","R","1283","1.45","1166","63.4%","3065","65.5%","9.9pp"
"Fearless Skald","R","U","3945","6.21","2773","59.1%","6951","59.5%","0.7pp"
"Furnace Gremlin","R","U","3231","7.56","2326","55.9%","5449","56.2%","-1.0pp"
"Furnace Host Charger","R","C","5377","9.98","2273","53.7%","5583","55.4%","-1.3pp"
"Furnace Reins","R","U","4174","7.69","2136","60.5%","5388","61.8%","3.9pp"
"Hangar Scrounger","R","C","6256","10.03","3347","59.1%","7868","58.5%","0.2pp"
"Harried Artisan","R","U","2154","7.14","1359","51.7%","3120","53.3%","-4.4pp"
"Into the Fire","R","R","492","4.91","256","48.8%","559","52.2%","-4.3pp"
"Invasion of Kaldheim","R","R","786","3.37","566","54.8%","1391","55.1%","-2.2pp"
"Invasion of Karsus","R","R","738","2.33","523","62.9%","1306","61.4%","7.1pp"
"Invasion of Mercadia","R","U","3951","5.10","3661","61.0%","8462","60.6%","2.0pp"
"Invasion of Regatha","R","U","2145","6.05","1455","56.4%","3526","57.9%","0.0pp"
"Invasion of Tarkir","R","M","595","1.80","586","65.9%","1348","64.2%","6.9pp"
"Karsus Depthguard","R","C","4806","12.30","619","54.6%","1462","54.8%","-2.7pp"
"Khenra Spellspear","R","U","3987","3.65","3816","63.1%","8881","60.2%","2.0pp"
"Lithomantic Barrage","R","U","3229","10.03","850","60.4%","2035","61.3%","4.1pp"
"Marauding Dreadship","R","C","9098","9.31","5518","58.8%","13263","59.3%","0.6pp"
"Mirran Banesplitter","R","C","4680","12.76","411","59.6%","1019","58.2%","-0.0pp"
"Nahiri's Warcrafting","R","R","954","2.26","862","56.1%","2140","61.4%","3.9pp"
"Onakke Javelineer","R","C","5019","11.52","1173","53.7%","2996","56.2%","-0.7pp"
"Pyretic Prankster","R","C","5985","9.21","3489","53.9%","8313","54.2%","-4.0pp"
"Ral's Reinforcements","R","C","8695","7.51","6574","62.9%","15516","60.5%","0.5pp"
"Ramosian Greatsword","R","U","3251","9.98","982","54.4%","2496","56.3%","-3.1pp"
"Rampaging Raptor","R","R","945","1.79","878","58.1%","2129","60.6%","2.9pp"
"Redcap Heelslasher","R","C","4698","11.39","1189","56.3%","2800","56.3%","-0.8pp"
"Scrappy Bruiser","R","U","2402","11.25","243","54.3%","621","58.0%","2.5pp"
"Searing Barb","R","C","4625","11.07","1038","56.9%","2576","56.5%","-0.6pp"
"Shatter the Source","R","C","6256","8.87","3529","54.9%","9243","57.6%","-0.4pp"
"Shivan Branch-Burner","R","U","2333","7.34","1312","55.0%","3345","57.3%","-0.8pp"
"Stoke the Flames","R","U","3611","3.43","3195","58.6%","8073","60.9%","3.4pp"
"Thrashing Frontliner","R","C","5629","10.41","2650","56.6%","6216","55.3%","-2.8pp"
"Trailblazing Historian","R","C","4817","12.06","797","55.0%","1862","54.4%","-3.4pp"
"Urabrask","R","M","399","1.84","359","59.9%","884","58.6%","-0.5pp"
"Volcanic Spite","R","C","7571","3.80","7426","61.5%","17524","62.1%","4.0pp"
